label,wkt,wikidata,pleiades,OSM type,OSM ID,OSM tag,OSM relation,event_uri,event_identifier,estimatedstart,estimatedend,cax,cay,caz,startfixed,endfixed,nfsn,nfen
Trier-Petrisberg,POINT(6.664117 49.752021),Q20578867,108894,way,104871217.0,historic=archaeological_site,,,,,,,,,,,,
Neuss,POINT(6.721944 51.183889),Q318196,109215,node,6358516450.0,historic=archaeological_site,,http://leiza-scit.github.io/CAA2026-alligator/OljG8l,OljG8l,-16.0,8.0,-0.4107,0.0405,-0.055,true,false,,Rödgen
Dangstetten,POINT(8.31083 47.58889),Q2179590,970740488,way,103687183.0,landuse=quarry,,http://leiza-scit.github.io/CAA2026-alligator/MADy9p,MADy9p,-15.0,-9.0,-1.0624,0.2223,0.5173,true,true,,
Oberaden,POINT(7.58444 51.6125),Q577724,109229,way,157929084.0,historic=archaeological_site,,http://leiza-scit.github.io/CAA2026-alligator/rJXxA7,rJXxA7,-11.0,8.0,-0.6965,0.2155,0.4023,true,false,,Rödgen
Titelberg,POINT(5.85972 49.54028),Q1463952,109381,way,32545380.0,historic=archaeological_site,,http://leiza-scit.github.io/CAA2026-alligator/J3R6nX,J3R6nX,-15.0,-9.0,-1.2119,-0.3813,-0.0643,false,false,Dangstetten,Dangstetten
Rödgen,POINT(8.7665 50.371),Q2179598,220408239,node,6700040031.0,tourism=information,,http://leiza-scit.github.io/CAA2026-alligator/B95OZz,B95OZz,-12.0,8.0,-0.4825,0.1896,0.2972,true,true,,
Conimbriga,POINT(-8.49341 40.09905),Q868754,236443,node,7878861331.0,historic=archaeological_site,,http://leiza-scit.github.io/CAA2026-alligator/Ndnd3r,Ndnd3r,-7.0,9.0,-0.1065,0.0456,-0.1097,false,false,Haltern,Haltern
Lausanne-Vidy,POINT(6.60087 46.51651),Q3264025,177565,way,699387398.0,historic=archaeological_site,,http://leiza-scit.github.io/CAA2026-alligator/gdWKYL,gdWKYL,-16.0,9.0,-0.2726,-0.0157,-0.1228,false,false,Neuss,Haltern
Tongeren,POINT(5.46486 50.78096),Q1863929,108765,way,346290310.0,historic=archaeological_site,,http://leiza-scit.github.io/CAA2026-alligator/oqJAd8,oqJAd8,-7.0,9.0,0.063,0.0097,0.1545,false,false,Haltern,Haltern
Liberchies,POINT(4.44349 50.51455),Q2371918,109003,,,,,http://leiza-scit.github.io/CAA2026-alligator/QXlWK2,QXlWK2,-16.0,8.0,-0.3057,-0.0244,-0.0504,false,false,Neuss,Rödgen
Vetera I,POINT(6.46999 1.64639),Q532466,108867,,,,,http://leiza-scit.github.io/CAA2026-alligator/KbRY6O,KbRY6O,-7.0,9.0,0.4039,-0.0911,0.218,false,false,Haltern,Haltern
Bad Nauheim,POINT(8.7522 50.36987),Q2179578,118588,node,333175552.0,historic=archaeological_site,,http://leiza-scit.github.io/CAA2026-alligator/kBRoVE,kBRoVE,-7.0,9.0,0.2199,0.034,-0.1879,false,false,Haltern,Haltern
Haltern,POINT(7.17052 51.73947),Q2179592,109029,way,435021824.0,historic=archaeological_site,,http://leiza-scit.github.io/CAA2026-alligator/vXGN59,vXGN59,-7.0,9.0,0.1314,0.1361,-0.1036,true,true,,
Augsburg-Oberhausen,POINT(10.88173 48.39021),Q760496,118580,way,55938422.0,landuse=brownfield,relatedMatch,http://leiza-scit.github.io/CAA2026-alligator/M8BAmk,M8BAmk,-16.0,9.0,-0.2301,0.2052,-0.153,false,false,Neuss,Haltern
Braives,POINT(5.1455 50.6296),Q681153,109245,,,,,http://leiza-scit.github.io/CAA2026-alligator/BWKpDQ,BWKpDQ,-7.0,9.0,0.186,-0.0421,0.267,false,false,Haltern,Haltern
Bregenz,POINT(9.74073 47.4979),Q13452589,187325,,,,,http://leiza-scit.github.io/CAA2026-alligator/zLjX82,zLjX82,7.0,13.0,0.3196,0.1604,-0.7664,false,false,"Augst, Insula 31","Augst, Insula 31"
Lorenzberg,POINT(10.90977 47.90988),Q1346749,187242,,,,,http://leiza-scit.github.io/CAA2026-alligator/Ee4KvG,Ee4KvG,-7.0,9.0,0.2099,0.065,0.039,false,false,Haltern,Haltern
Namur,POINT(4.86063 50.45949),Q134121,109188,,,,,http://leiza-scit.github.io/CAA2026-alligator/LJA4XN,LJA4XN,-12.0,8.0,-0.1435,0.2008,0.3545,false,false,Rödgen,Rödgen
Vechten,POINT(5.16186 52.05774),Q2311719,98956,,,,,http://leiza-scit.github.io/CAA2026-alligator/KmaGQd,KmaGQd,16.0,28.0,0.8037,-0.2304,0.3963,false,false,Velsen,Velsen
Worms,POINT(8.35978 49.63007),Q1094541,108820,,,,,http://leiza-scit.github.io/CAA2026-alligator/Qz2oRe,Qz2oRe,-16.0,13.0,-0.5313,0.4841,-0.5543,false,false,Neuss,"Augst, Insula 31"
Friedberg,POINT(8.7535 50.34167),Q1011847,118681,node,725895648.0,place=hamlet,,http://leiza-scit.github.io/CAA2026-alligator/LmM3V1,LmM3V1,7.0,13.0,0.4748,0.0596,-0.3632,false,false,"Augst, Insula 31","Augst, Insula 31"
Maastricht,POINT(5.6938 50.84841),Q2250231,109386,node,2804902056.0,tourism=museum,,http://leiza-scit.github.io/CAA2026-alligator/JmWOrl,JmWOrl,16.0,28.0,0.8086,-0.2157,0.4184,false,false,Velsen,Velsen
Velsen,POINT(4.66829 52.45207),Q615397,99058,way,106663898.0,natural=water,closeMatch,http://leiza-scit.github.io/CAA2026-alligator/EOD041,EOD041,16.0,28.0,0.8336,-0.1823,0.0086,true,true,,
Wiesbaden,POINT(8.23879 50.08434),Q1094536,108750,way,111263486.0,tourism=attraction,relatedMatch,http://leiza-scit.github.io/CAA2026-alligator/RjmPA4,RjmPA4,7.0,13.0,0.4593,0.0995,-0.5028,false,false,"Augst, Insula 31","Augst, Insula 31"
