example,shares,n,method,counts,p_H1,p_H2,p_H3,p_H4,p_H5,leader,chi_square,df,p_fit,fits
A,13 / 27 / 60,30,plugin,4 / 8 / 18,0.0,0.8894,64.2114,34.8991,0.0001,3,0.725,3,0.8672,True
A,13 / 27 / 60,30,dirichlet,4 / 8 / 18,0.0,0.9499,65.2766,33.7733,0.0002,3,0.725,3,0.8672,True
A,13 / 27 / 60,100,plugin,13 / 27 / 60,0.0,0.0,87.9462,12.0538,0.0,3,2.109,3,0.55001,True
A,13 / 27 / 60,100,dirichlet,13 / 27 / 60,0.0,0.0001,85.4909,14.509,0.0,3,2.109,3,0.55001,True
A,13 / 27 / 60,300,plugin,39 / 81 / 180,0.0,0.0,99.7432,0.2568,0.0,3,6.328,3,0.09668,True
A,13 / 27 / 60,300,dirichlet,39 / 81 / 180,0.0,0.0,96.3617,3.6383,0.0,3,6.328,3,0.09668,True
B,6 / 24 / 70,30,plugin,2 / 7 / 21,0.0,0.0134,26.401,73.5066,0.079,4,0.084,3,0.99371,True
B,6 / 24 / 70,30,dirichlet,2 / 7 / 21,0.0,0.0163,29.4039,70.4571,0.1227,4,0.084,3,0.99371,True
B,6 / 24 / 70,100,plugin,6 / 24 / 70,0.0,0.0,2.9217,97.0783,0.0,4,0.318,3,0.95659,True
B,6 / 24 / 70,100,dirichlet,6 / 24 / 70,0.0,0.0,4.9856,95.0144,0.0,4,0.318,3,0.95659,True
B,6 / 24 / 70,300,plugin,18 / 72 / 210,0.0,0.0,0.0027,99.9973,0.0,4,0.954,3,0.81232,True
B,6 / 24 / 70,300,dirichlet,18 / 72 / 210,0.0,0.0,0.0229,99.9771,0.0,4,0.954,3,0.81232,True
C,2 / 8 / 90,30,plugin,1 / 2 / 27,0.0,0.0,0.0699,3.4043,96.5258,5,2.309,2,0.31522,True
C,2 / 8 / 90,30,dirichlet,1 / 2 / 27,0.0,0.0,0.0737,3.378,96.5483,5,2.309,2,0.31522,True
C,2 / 8 / 90,100,plugin,2 / 8 / 90,0.0,0.0,0.0,0.0005,99.9995,5,1.908,2,0.38513,True
C,2 / 8 / 90,100,dirichlet,2 / 8 / 90,0.0,0.0,0.0,0.0017,99.9983,5,1.908,2,0.38513,True
C,2 / 8 / 90,300,plugin,6 / 24 / 270,0.0,0.0,0.0,0.0,100.0,5,5.725,2,0.05713,True
C,2 / 8 / 90,300,dirichlet,6 / 24 / 270,0.0,0.0,0.0,0.0,100.0,5,5.725,2,0.05713,True
