findspot,n,horizon_seriation,horizon_model,p_seriation,p_model,hit,offset
"Basel, Lager",48,1,1,99.9996,99.9996,True,0
Dangstetten,269,1,1,100.0,100.0,True,0
"Nijmegen, Lager (Haalebos)",17,1,1,99.998,99.998,True,0
Oberaden,73,1,2,0.8427,99.1573,False,1
Titelberg,58,1,1,100.0,100.0,True,0
"Zürich, Lindenhof",17,1,1,99.2355,99.2355,True,0
"Asberg, Lager",330,2,2,100.0,100.0,True,0
Augsburg-Oberhausen,85,2,2,99.9292,99.9292,True,0
"Basel, Lagerdorf",148,2,2,88.3218,88.3218,True,0
Lausanne-Vidy,391,2,2,100.0,100.0,True,0
Liberchies,26,2,2,99.7265,99.7265,True,0
Namur,15,2,3,11.4607,66.1473,False,1
Neuss,1540,2,2,100.0,100.0,True,0
Rödgen,76,2,2,99.9996,99.9996,True,0
"Vindonissa, Militärstation",86,2,2,99.9231,99.9231,True,0
Worms,9,2,1,28.08,67.2048,False,-1
"Asberg, Lagerdorf",407,3,3,85.318,85.318,True,0
Bad Nauheim,11,3,3,46.5473,46.5473,True,0
"Bonn, Boeselagerhof",86,3,3,81.5563,81.5563,True,0
Braives,12,3,3,51.3047,51.3047,True,0
Conimbriga,62,3,2,5.0474,94.8018,False,-1
Haltern,1042,3,3,94.9924,94.9924,True,0
Lorenzberg,58,3,3,79.5567,79.5567,True,0
"Mainz, Legionslager",86,3,3,92.2478,92.2478,True,0
"Nijmegen, Lager (Brunsting)",70,3,4,1.1105,98.8883,False,1
Tongeren,134,3,3,84.2962,84.2962,True,0
Vetera I,67,3,4,5.6827,94.317,False,1
"Vindonissa, Scheuerhof",97,3,3,83.4686,83.4686,True,0
"Augsburg, Stadt",29,4,5,6.5103,93.1632,False,1
"Augst, Insula 31",140,4,3,0.0321,99.9679,False,-1
"Avenches, Insula 15",8,4,4,48.9186,48.9186,True,0
Bregenz,111,4,4,98.8194,98.8194,True,0
Friedberg,22,4,4,63.5442,63.5442,True,0
"Nijmegen, Trajanusplein",28,4,4,79.2187,79.2187,True,0
"Nijmegen, Valkhof",77,4,3,46.1824,53.8176,False,-1
"Oberwinterthur, Römerstr. 186",25,4,4,65.3746,65.3746,True,0
"Vindonissa, Königsfelden",9,4,4,44.9593,44.9593,True,0
Wiesbaden,27,4,4,75.8879,75.8879,True,0
"Augst, Insula 20",36,5,4,0.0151,84.2989,False,-1
"Augst, Theater",10,5,5,76.4068,76.4068,True,0
Maastricht,14,5,5,70.1728,70.1728,True,0
Vechten,590,5,5,100.0,100.0,True,0
Velsen,670,5,5,100.0,100.0,True,0
"Zurzach, Lager",14,5,5,70.1728,70.1728,True,0
