findspot,Schrägrandteller,Service Ia Tasse,Service Ia Teller,Service Ib Tasse,Service Ib Teller,Service Ic Tasse,Service Ic Teller,Service II Tasse,Service II Teller
Trier-Petrisberg,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nijmegen, Lager (Haalebos)",17.65,11.76,11.76,11.76,29.41,11.76,5.88,0.0,0.0
"Basel, Lager",2.08,6.25,6.25,14.58,33.33,16.67,14.58,0.0,6.25
"Vindonissa, Militärstation",1.16,2.33,2.33,26.74,16.28,10.47,17.44,17.44,5.81
Neuss,0.19,2.21,2.34,9.16,16.36,11.49,25.26,18.12,14.87
"Zürich, Lindenhof",11.76,23.53,11.76,5.88,11.76,17.65,0.0,11.76,5.88
Dangstetten,0.0,5.58,0.37,13.01,17.1,39.41,21.56,1.49,1.49
Oberaden,0.0,1.37,1.37,13.7,13.7,30.14,21.92,13.7,4.11
Titelberg,0.0,6.9,18.97,10.34,22.41,17.24,18.97,0.0,5.17
Rödgen,0.0,0.0,1.32,11.84,14.47,22.37,23.68,21.05,5.26
"Asberg, Lager",0.0,1.82,0.61,11.82,12.12,18.18,16.06,21.21,18.18
"Basel, Lagerdorf",0.0,1.35,2.7,2.7,8.11,14.86,27.03,24.32,18.92
Conimbriga,0.0,1.61,1.61,3.23,14.52,8.06,24.19,27.42,19.35
Lausanne-Vidy,0.0,2.81,3.58,6.39,14.58,11.0,18.16,20.72,22.76
Tongeren,0.0,0.75,1.49,3.73,6.72,17.16,12.69,36.57,20.9
"Augst, Insula 31",0.0,0.0,0.71,3.57,9.29,5.0,24.29,26.43,30.71
"Bonn, Boeselagerhof",0.0,0.0,1.16,8.14,12.79,8.14,13.95,26.74,29.07
Liberchies,0.0,0.0,3.85,7.69,26.92,3.85,19.23,26.92,11.54
"Nijmegen, Lager (Brunsting)",0.0,0.0,1.43,5.71,7.14,1.43,8.57,40.0,35.71
Vetera I,0.0,0.0,1.49,7.46,0.0,7.46,11.94,53.73,17.91
"Augst, Insula 20",0.0,0.0,0.0,5.56,8.33,0.0,11.11,63.89,11.11
Bad Nauheim,0.0,0.0,0.0,9.09,9.09,0.0,18.18,36.36,27.27
Haltern,0.0,0.0,0.0,4.32,4.61,8.45,27.54,32.92,22.17
"Asberg, Lagerdorf",0.0,0.0,0.0,2.95,4.67,10.32,21.87,37.59,22.6
Augsburg-Oberhausen,0.0,0.0,0.0,11.76,14.12,4.71,32.94,21.18,15.29
Braives,0.0,0.0,0.0,0.0,16.67,8.33,16.67,50.0,8.33
Bregenz,0.0,0.0,0.0,0.9,3.6,1.8,20.72,18.02,54.95
Lorenzberg,0.0,0.0,0.0,5.17,5.17,6.9,24.14,41.38,17.24
"Mainz, Legionslager",0.0,0.0,0.0,11.63,9.3,9.3,17.44,39.53,12.79
Namur,0.0,0.0,0.0,6.67,0.0,33.33,13.33,26.67,20.0
"Nijmegen, Trajanusplein",0.0,0.0,0.0,3.57,3.57,3.57,10.71,32.14,46.43
"Nijmegen, Valkhof",0.0,0.0,0.0,3.9,2.6,6.49,23.38,31.17,32.47
Vechten,0.0,0.0,0.0,0.34,0.68,3.22,5.93,75.59,14.24
"Vindonissa, Scheuerhof",0.0,0.0,0.0,0.0,7.22,15.46,18.56,34.02,24.74
Worms,0.0,0.0,0.0,11.11,11.11,0.0,66.67,0.0,11.11
"Augsburg, Stadt",0.0,0.0,0.0,0.0,0.0,0.0,13.79,34.48,51.72
"Augst, Theater",0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,40.0
"Avenches, Insula 15",0.0,0.0,0.0,0.0,12.5,0.0,12.5,37.5,37.5
Friedberg,0.0,0.0,0.0,0.0,0.0,4.55,18.18,36.36,40.91
Maastricht,0.0,0.0,0.0,0.0,0.0,0.0,14.29,78.57,7.14
"Oberwinterthur, Römerstr. 186",0.0,0.0,0.0,0.0,4.0,0.0,16.0,32.0,48.0
Velsen,0.0,0.0,0.0,0.0,0.0,0.0,4.33,63.73,31.94
"Vindonissa, Königsfelden",0.0,0.0,0.0,0.0,0.0,0.0,22.22,11.11,66.67
Wiesbaden,0.0,0.0,0.0,0.0,0.0,0.0,25.93,33.33,40.74
"Zurzach, Lager",0.0,0.0,0.0,0.0,0.0,0.0,14.29,50.0,35.71
